meet_name,meet_date,season_year,race_name,course_name,gender
Earlybird Invitational,2010-09-11,2010,Not Disclosed,"Toro Park, 3 Miles",M
CA State Championship,2009-11-28,2009,Not Disclosed,"Woodward Park, 5 Kilometers",M
CCS Championsips,2009-11-14,2009,Not Disclosed,"Crystal Springs, 2.95 Miles",M
BVAL Championships,2009-11-06,2009,Not Disclosed,"Crystal Springs, 2.95 Miles",M
League Meet,2009-10-27,2009,Not Disclosed,"Montgomery Hill, 2.74 Miles",M
League Meet,2009-10-20,2009,Not Disclosed,"Montgomery Hill, 2.74 Miles",M
Crystal Springs Invitational,2009-10-10,2009,Not Disclosed,"Crystal Springs, 2.95 Miles",M
League Meet,2009-09-29,2009,Not Disclosed,"Montgomery Hill, 2.74 Miles",M
Stanford Invitational,2009-09-26,2009,Not Disclosed,"Stanford GC, 5 Kilometers",M
Firebird Invitational,2009-09-17,2009,Not Disclosed,"Cupertino High School, 2 Miles",M
Lynbrook Invitational,2009-09-10,2009,Not Disclosed,"Lynbrook High School, 2.1 Miles",M
CCS Championsips,2008-11-15,2008,Not Disclosed,"Crystal Springs, 2.95 Miles",M
BVAL Championships,2008-11-03,2008,Not Disclosed,"Crystal Springs, 2.95 Miles",M
League Meet,2008-10-27,2008,Not Disclosed,"Montgomery Hill, 2.74 Miles",M
League Meet,2008-10-22,2008,Not Disclosed,"Montgomery Hill, 2.74 Miles",M
League Meet,2008-10-15,2008,Not Disclosed,"Montgomery Hill, 2.74 Miles",M
Crystal Springs Invitational,2008-10-11,2008,Not Disclosed,"Crystal Springs, 2.95 Miles",M
League Meet,2008-09-24,2008,Not Disclosed,"Montgomery Hill, 2.74 Miles",M
League Meet,2008-09-17,2008,Not Disclosed,"Montgomery Hill, 2.74 Miles",M
Chieftain Invitational,2008-09-13,2008,Not Disclosed,"Toro Park, 3 Miles",M
CCS Championsips,2007-11-10,2007,Not Disclosed,"Crystal Springs, 2.95 Miles",M
BVAL Championships,2007-10-29,2007,Not Disclosed,"Crystal Springs, 2.95 Miles",M
Center Meet,2007-10-25,2007,Not Disclosed,"Crystal Springs, 2.95 Miles",M
Center Meet,2007-10-11,2007,Not Disclosed,"Crystal Springs, 2.95 Miles",M
League Meet,2007-10-08,2007,Not Disclosed,"Montgomery Hill, 2.74 Miles",M
League Meet,2007-10-01,2007,Not Disclosed,"Alum Rock, 2.9 Miles",M
League Meet,2007-09-24,2007,Not Disclosed,"Montgomery Hill, 2.74 Miles",M
League Meet,2007-09-17,2007,Not Disclosed,"Alum Rock, 2.9 Miles",M
CCS Championsips,2006-11-11,2006,Not Disclosed,"Toro Park, 3 Miles",M
BVAL Championships,2006-10-30,2006,Not Disclosed,"Crystal Springs, 2.95 Miles",M
Center Meet,2006-10-26,2006,Not Disclosed,"Crystal Springs, 2.95 Miles",M
Lowell Invitational,2006-09-23,2006,Not Disclosed,"Golden Gate Park, 2.93 Miles",M
Lowell Invitational,2006-09-23,2006,Not Disclosed,"Golden Gate Park, 2.13 Miles",M
CCS Championsips,2005-11-12,2005,Not Disclosed,"Crystal Springs, 2.95 Miles",M
BVAL Championships,2005-10-31,2005,Not Disclosed,"Crystal Springs, 2.95 Miles",M
League Meet,2005-10-27,2005,Not Disclosed,"Montgomery Hill, 2.74 Miles",M
Montery Bay Invitational,2005-10-21,2005,Not Disclosed,"Toro Park, 3 Miles",M
League Meet,2005-10-13,2005,Not Disclosed,"Montgomery Hill, 2.74 Miles",M
Crystal Springs Invitational,2005-10-08,2005,Not Disclosed,"Crystal Springs, 2.95 Miles",M
Artichoke Invitational,2005-10-01,2005,Not Disclosed,"Half Moon Bay HS, 2.25 Miles",M
League Meet,2005-09-16,2005,Not Disclosed,"Montgomery Hill, 2.74 Miles",M
CCS Championsips,2004-11-13,2004,Not Disclosed,"Toro Park, 3 Miles",M
BVAL Championships,2004-11-01,2004,Not Disclosed,"Crystal Springs, 2.95 Miles",M
League Meet,2004-10-27,2004,Not Disclosed,"Montgomery Hill, 2.74 Miles",M
Montery Bay Invitational,2004-10-16,2004,Not Disclosed,"Toro Park, 3 Miles",M
Crystal Springs Invitational,2004-10-09,2004,Not Disclosed,"Crystal Springs, 2.95 Miles",M
League Meet,2004-10-05,2004,Not Disclosed,"Montgomery Hill, 2.74 Miles",M
Artichoke Invitational,2004-10-02,2004,Not Disclosed,"Half Moon Bay HS, 2.25 Miles",M
League Meet,2004-09-28,2004,Not Disclosed,"Montgomery Hill, 2.74 Miles",M
Ram Invitational,2004-09-25,2004,Not Disclosed,"Westmoor High, 2.4 Miles",M
Firebird Invitational,2004-09-16,2004,Not Disclosed,"Fremont HS, 2.05 Miles",M
CCS Championsips,2003-11-15,2003,Not Disclosed,"Crystal Springs, 2.95 Miles",M
BVAL Championships,2003-11-03,2003,Not Disclosed,"Crystal Springs, 2.95 Miles",M
League Meet,2003-10-27,2003,Not Disclosed,"Alum Rock, 2.9 Miles",M
League Meet,2003-10-20,2003,Not Disclosed,"Alum Rock, 2.9 Miles",M
League Meet,2003-10-06,2003,Not Disclosed,"Alum Rock, 2.9 Miles",M
League Meet,2003-09-29,2003,Not Disclosed,"Alum Rock, 2.9 Miles",M
Firebird Invitational,2003-09-11,2003,Not Disclosed,"Fremont HS, 2.05 Miles",M
CCS Championsips,2002-11-16,2002,Not Disclosed,"Toro Park, 3 Miles",M
BVAL Championships,2002-11-04,2002,Not Disclosed,"Crystal Springs, 2.95 Miles",M
BVAL Champions,2024-11-04,2024,Not Disclosed,"Crystal Springs, 2.95 Miles",F
League Meet,2024-10-23,2024,Not Disclosed,"Montgomery Hill, 2.74 Miles",F
Chico Autumn Invitational,2024-10-19,2024,Not Disclosed,"Hooker Oak Park, 5 Kilometers",F
Chico Autumn Invitational,2024-10-19,2024,Not Disclosed,"Hooker Oak Park, 3.5 Kilometers",F
Crystal Springs Invitational,2024-10-12,2024,Not Disclosed,"Crystal Springs, 2.95 Miles",F
Scott Bauhs Invite,2024-09-28,2024,Not Disclosed,"Shadow Cliffs Regional Park, 2.95 Miles",F
League Meet,2024-09-25,2024,Not Disclosed,"Montgomery Hill, 2.74 Miles",F
Fighting Knights Invitational,2024-09-14,2024,Not Disclosed,"Crystal Springs, 2.95 Miles",F
Fighting Knights Invitational,2024-09-14,2024,Not Disclosed,"Crystal Springs, 2.13 Miles",F
National Postal,2024-09-09,2024,Not Disclosed,"Track, 2 Miles",F
CA State Championship,2023-11-25,2023,Not Disclosed,"Woodward Park, 5 Kilometers",F
CCS Championships,2023-11-11,2023,Not Disclosed,"Crystal Springs, 2.95 Miles",F
BVAL Finals,2023-10-30,2023,Not Disclosed,"Crystal Springs, 2.95 Miles",F
BVAL #3,2023-10-19,2023,Not Disclosed,"Montgomery Hill, 2.74 Miles",F
