id,name,location,venue,distance_meters,distance_display,difficulty_rating,elevation_gain_meters,surface_type,terrain_description,course_map_url,athletic_net_id,notes,created_at,updated_at
1b0ddffe-d12a-4500-bbe7-c16ba40ff163,Mt SAC | 5 Kilometers,,,5000,5000m,1.179988228,,,,,,,2025-10-24T21:04:09.303748+00:00,2025-10-24T21:04:09.303748+00:00
d9be735d-5736-4302-a013-100d24465c35,Mt. Madonna Park | 2.4 Miles,,,3862,3862m,1.141848146,,,,,,,2025-10-24T21:04:02.41093+00:00,2025-10-24T21:04:02.41093+00:00
bf9a906e-96ec-47c8-8245-806e516a5585,Mt. Madonna Park | 2.6 Miles,,,4184,4184m,1.084167157,,,,,,,2025-10-24T21:04:03.689987+00:00,2025-10-24T21:04:03.689987+00:00
e249bcd8-043c-4246-8659-998509e8b74d,Newhall Park | 2 Miles,,,3219,3219m,1.104649794,,,,,,,2025-10-24T21:03:58.362085+00:00,2025-10-24T21:03:58.362085+00:00
679b5966-2209-439f-95d5-559118bcb7a1,Newhall Park | 3 Miles,,,4828,4828m,1.114773396,,,,,,,2025-10-24T21:04:06.972154+00:00,2025-10-24T21:04:06.972154+00:00
b60eeca7-539f-4352-8df9-0d387d6faa3d,NMC High School | 3 Miles,,,4828,4828m,1.224853686,,,,,,,2025-10-24T21:04:07.872726+00:00,2025-10-24T21:04:07.872726+00:00
8828b7df-22bf-4c4c-8435-86721679444b,Pleasant Hills High School | 2.75 Miles,,,4426,4426m,1.141848146,,,,,,,2025-10-24T21:04:04.633064+00:00,2025-10-24T21:04:04.633064+00:00
779d5516-d84a-433b-8521-157e707b53de,Santa Teresa High School | 2.85 Miles,,,4587,4587m,1.134785168,,,,,,,2025-10-24T21:04:05.535694+00:00,2025-10-24T21:04:05.535694+00:00
d155c7e9-eb68-40ca-9ef6-f11395889b15,Santa Teresa Park | 2.7 Miles,,,4345,4345m,1.212477928,,,,,,,2025-10-24T21:04:04.296521+00:00,2025-10-24T21:04:04.296521+00:00
aac47d26-abc5-46b8-b995-6f2b93dfcaa2,Shadow Cliffs Regional Park | 2.95 Miles,,,4748,4748m,1.161859918,,,,,,,2025-10-24T21:04:06.418879+00:00,2025-10-24T21:04:06.418879+00:00
c60a8a37-a530-4ae6-a7b4-d074ff7440a2,Sierra College | 3 Miles,,,4828,4828m,1.173631548,,,,,,,2025-10-24T21:04:07.41744+00:00,2025-10-24T21:04:07.41744+00:00
374d8f20-99a1-4f50-940c-34e574a050ed,Soquel High School | 2 Miles,,,3219,3219m,1.177163037,,,,,,,2025-10-24T21:03:58.814841+00:00,2025-10-24T21:03:58.814841+00:00
da150ca7-3bb6-4111-bbc1-8f054d141ae4,Soquel High School | 2.5 Miles,,,4023,4023m,1.130076516,,,,,,,2025-10-24T21:04:03.22223+00:00,2025-10-24T21:04:03.22223+00:00
c66f23c4-7bfc-43f7-bd88-ce3d1d30ab59,Soquel High School | 2.75 Miles,,,4426,4426m,1.130076516,,,,,,,2025-10-24T21:04:04.519226+00:00,2025-10-24T21:04:04.519226+00:00
1ae4bb63-4743-43a1-a90e-d7495b42cf1b,Stanford GC | 5 Kilometers,,,5000,5000m,1.135491466,,,,,,,2025-10-24T21:04:08.495224+00:00,2025-10-24T21:04:08.495224+00:00
8be838cb-7049-4d62-af99-fe91fc275e55,Stanford Golf Course | 3 Miles,,,4828,4828m,1.135491466,,,,,,,2025-10-24T21:04:07.211802+00:00,2025-10-24T21:04:07.211802+00:00
85a68195-2389-40d8-870a-4cd4b0391665,Sunnyvale High School | 2 Miles,,,3219,3219m,1.065332549,,,,,,,2025-10-24T21:03:57.923622+00:00,2025-10-24T21:03:57.923622+00:00
27741cd9-4e10-4e05-9bc7-2e313f071ed5,Sunnyvale High School | 2.4 Miles,,,3862,3862m,1.065332549,,,,,,,2025-10-24T21:04:02.171148+00:00,2025-10-24T21:04:02.171148+00:00
16bd6f21-be4d-40c3-b492-db6c13851272,Threshold,,,1609,1609m,1.181998386,,,,,,,2025-10-24T21:03:56.876529+00:00,2025-10-24T21:03:56.876529+00:00
c3b81e56-96c4-419e-8ae3-9d4ac075e951,Toro Park | 3 Miles,,,4828,4828m,1.181212478,,,,,,,2025-10-24T21:04:07.537608+00:00,2025-10-24T21:04:07.537608+00:00
7a6cb57c-4019-4654-989c-aca215ef1404,Toro Park | 5 Kilometers,,,5000,5000m,1.181211961,,,,,,,2025-10-24T21:04:09.438935+00:00,2025-10-24T21:04:09.438935+00:00
b47987f9-505f-4d3e-bfb1-126bdb804380,Toro Park 3 Mile,"Salinas, CA",Toro Regional Park,4828,3 mile,7.5,120,dirt,Rolling hills on dirt trails,,,,2025-10-22T23:39:20.900125+00:00,2025-10-22T23:39:20.900125+00:00
7a00b5f5-fda3-49e8-bcea-23887f4a5762,Track | 1 Mile,,,1609,1609m,1.0,,,,,,,2025-10-24T21:03:56.391526+00:00,2025-10-24T21:03:56.391526+00:00
60943b60-b856-4326-93ff-c3cc10854279,Track | 1600m,,,1600,1600m,0.998351972,,,,,,,2025-10-24T21:05:43.014625+00:00,2025-10-24T21:05:43.014625+00:00
73f5532f-aafb-4afd-ae4c-084553fb4ad8,Track | 2 Miles,,,3219,3219m,1.065450265,,,,,,,2025-10-24T21:03:58.03235+00:00,2025-10-24T21:03:58.03235+00:00
8b725b07-3893-4f27-9e60-27c07df71caf,Track | 3 Miles,,,4828,4828m,1.077104179,,,,,,,2025-10-24T21:04:06.855755+00:00,2025-10-24T21:04:06.855755+00:00
e1942fc5-2e9a-4088-baf8-f5bebd68a7ff,Track | 3200m,,,3200,3200m,1.065332548,,,,,,,2025-10-24T21:03:57.815319+00:00,2025-10-24T21:03:57.815319+00:00
ac55451b-6a97-4b0c-a21a-d7251f9db302,Track | 5000m,,,5000,5000m,1.111241907,,,,,,,2025-10-24T21:04:08.266142+00:00,2025-10-24T21:04:08.266142+00:00
a55f04f9-6cf8-483b-8cd8-20c4ac977b32,V02Max,,,1609,1609m,1.033785422,,,,,,,2025-10-24T21:03:56.520413+00:00,2025-10-24T21:03:56.520413+00:00
ac78e29e-fad3-4a77-8630-9fee1524b7ab,Vasona Park | 1.9 Miles,,,3058,3058m,1.130076516,,,,,,,2025-10-24T21:03:57.469796+00:00,2025-10-24T21:03:57.469796+00:00
cfd969c5-ed6c-46e5-b73b-7a6e04d88f0c,Vasona Park | 2 Miles,,,3219,3219m,1.135962331,,,,,,,2025-10-24T21:03:58.578195+00:00,2025-10-24T21:03:58.578195+00:00
85e8acb3-3453-4ea9-a980-149573b83036,Vasona Park | 2.15 Miles,,,3460,3460m,1.141848146,,,,,,,2025-10-24T21:04:00.419426+00:00,2025-10-24T21:04:00.419426+00:00
fdedf413-a8f6-4032-9958-168c0d824d44,Vasona Park | 2.175 Miles,,,3500,3500m,1.103590347,,,,,,,2025-10-24T21:04:00.534667+00:00,2025-10-24T21:04:00.534667+00:00
68c0d9b5-cc4f-438f-a629-fb933226e2a2,Vasona Park | 2.85 Miles,,,4587,4587m,1.065332549,,,,,,,2025-10-24T21:04:05.318432+00:00,2025-10-24T21:04:05.318432+00:00
550fee09-c1f1-4902-8386-a2b42bd11868,Westmont High School | 2.5 Miles,,,4023,4023m,1.065332549,,,,,,,2025-10-24T21:04:02.641249+00:00,2025-10-24T21:04:02.641249+00:00
55991659-91e3-4eb6-a297-29b292d52990,Westmont High School | 5 Kilometers,,,5000,5000m,1.159505592,,,,,,,2025-10-24T21:04:09.079315+00:00,2025-10-24T21:04:09.079315+00:00
e606a375-40d3-42f8-a7bb-e80335904302,Westmoor High (Const) | 2.3 Miles,,,3701,3701m,1.134582492,,,,,,,2025-10-24T21:04:01.690527+00:00,2025-10-24T21:04:01.690527+00:00
26ffc191-ce5b-4a1c-846c-cfd482c794b6,Westmoor High | 2.4 Miles,,,3862,3862m,1.163413773,,,,,,,2025-10-24T21:04:02.531777+00:00,2025-10-24T21:04:02.531777+00:00
4b900d08-0988-4dd1-bc31-5a60f5221220,Willow Glen High | 2.56 Miles,,,4120,4120m,1.129958799,,,,,,,2025-10-24T21:04:03.583864+00:00,2025-10-24T21:04:03.583864+00:00
ab7e35b7-7e27-45de-8864-7f69120ef21c,Woodward Park | 3.5 Kilometers,,,3500,3500m,1.071218364,,,,,,,2025-10-24T21:04:00.769082+00:00,2025-10-24T21:04:00.769082+00:00
33421f41-26c6-44e1-8d10-897de48e7e05,Woodward Park | 5 Kilometers,,,5000,5000m,1.140294291,,,,,,,2025-10-24T21:04:08.836454+00:00,2025-10-24T21:04:08.836454+00:00
6576826c-82d6-41f5-a77e-f2396b3d3b33,York School | 1.95 Miles,,,3138,3138m,1.288993526,,,,,,,2025-10-24T21:03:57.702274+00:00,2025-10-24T21:03:57.702274+00:00
023b4ac4-77f1-4f41-9066-408839ed01e1,York School | 2 Miles,,,3219,3219m,1.267216009,,,,,,,2025-10-24T21:03:59.215071+00:00,2025-10-24T21:03:59.215071+00:00
2d4264a0-0735-4324-af00-16a875d861a3,Zone 1,,,1609,1609m,1.641812831,,,,,,,2025-10-24T21:03:57.246825+00:00,2025-10-24T21:03:57.246825+00:00
2a08bafc-aba4-48b7-b962-7590b11fed56,Zone 2,,,1609,1609m,1.441683343,,,,,,,2025-10-24T21:03:57.100757+00:00,2025-10-24T21:03:57.100757+00:00
ab4beab3-6741-405b-a803-53c1f859e12e,Zone 3,,,1609,1609m,1.289723367,,,,,,,2025-10-24T21:03:56.979687+00:00,2025-10-24T21:03:56.979687+00:00
fe070ab0-2202-4ec7-8b5b-1e50520d6d57,Zone 4,,,1609,1609m,1.178540318,,,,,,,2025-10-24T21:03:56.766302+00:00,2025-10-24T21:03:56.766302+00:00
7e147e7e-b515-4ade-a29a-0ba05fbb3fa4,Zone 5,,,1609,1609m,1.07848146,,,,,,,2025-10-24T21:03:56.644786+00:00,2025-10-24T21:03:56.644786+00:00
143214d2-13eb-43af-aaff-de2d646bfd0b,Zone 6,,,1609,1609m,0.959882284,,,,,,,2025-10-24T21:05:43.677158+00:00,2025-10-24T21:05:43.677158+00:00
8b034781-a69b-4a24-97e3-2a3646d0dbb8,Zone 7,,,1609,1609m,0.841283108,,,,,,,2025-10-24T21:05:43.563739+00:00,2025-10-24T21:05:43.563739+00:00
64296b52-165a-4dc1-8444-dcdd06322c04,Zone 8,,,1609,1609m,0.759752796,,,,,,,2025-10-24T21:05:43.437522+00:00,2025-10-24T21:05:43.437522+00:00
a57ca1ed-c0b3-4242-94b9-883aa0088cd0,Zone 9,,,1609,1609m,0.711571513,,,,,,,2025-10-24T21:05:43.331506+00:00,2025-10-24T21:05:43.331506+00:00
